CustomerId,Name1,Name2,ORT01,PSTLZ,REG10,TELF1,Bnd,Crush,Flang,Flar,Flatt,HydrDate,HydrTest,HydrUnit,IsSpec,Maktx,Matnr,NoOfTubes,Thickness,Width,CastNo,DelNo,FinLot,Matnr,RmCertDate,RmCertNo,Al,c,CastNo,Charge,ChargeVal,DelNo,ET,Elon,Elon1,FinLot,InvDate,InvNo,MetalTemp,Mn,P,s,SalItem,SalNo,Si,Tst,Yst
0000924825,VIJAY HARDWARE STORES- IND,"26, NASIA ROAD (BUS STAND)",INDORE,452001,,0,NA,NA,NA,SATISFACTORY,SATISFACTORY,20220107,110,kg/cm2,BS 3059:1987 PT 1 ERW 320,63.50 mm OD X3.660 mm THK X4.000 M.Fin Cut,000000000000235022,0519,3.500 mm,1250.00 mm,V64896,0901096879,2107B32,000000000000235022,20211205,0900928459,,0.054,V64896,2107B3011,100,0901096879,,45.000,48.000,2107B32,10.01.2022,4430190652,,0.463,0.022,0.005,000002,9515856474,0.010,348.000,259.000
0000924825,VIJAY HARDWARE STORES- IND,"26, NASIA ROAD (BUS STAND)",INDORE,452001,,0,NA,NA,NA,SATISFACTORY,SATISFACTORY,20220107,110,kg/cm2,BS 3059:1987 PT 1 ERW 320,63.50 mm OD X3.660 mm THK X4.000 M.Fin Cut,000000000000235022,0519,3.500 mm,1250.00 mm,V64896,0901096879,2107B32,000000000000235022,20211205,0900928459,,0.054,V64896,2107B3011,50,0901096879,,46.000,49.000,2107B32,10.01.2022,4430190652,,0.463,0.022,0.005,000002,9515856474,0.010,344.000,253.000
0000924825,VIJAY HARDWARE STORES- IND,"26, NASIA ROAD (BUS STAND)",INDORE,452001,,0,NA,NA,NA,SATISFACTORY,SATISFACTORY,20220107,110,kg/cm2,BS 3059:1987 PT 1 ERW 320,63.50 mm OD X3.660 mm THK X4.000 M.Fin Cut,000000000000235022,0519,3.500 mm,1250.00 mm,V64896,0901096879,2107B32,000000000000235022,20211205,0900928459,,0.054,V64896,2107B3011,50,0901096879,,44.000,47.000,2107B32,10.01.2022,4430190652,,0.463,0.022,0.005,000002,9515856474,0.010,346.000,256.000
0000924825,VIJAY HARDWARE STORES- IND,"26, NASIA ROAD (BUS STAND)",INDORE,452001,,0,NA,NA,NA,SATISFACTORY,SATISFACTORY,20220107,110,kg/cm2,BS 3059:1987 PT 1 ERW 320,63.50 mm OD X3.660 mm THK X5.500 M.Fin Cut,000000000000232706,0182,3.500 mm,1250.00 mm,V64896,0901096879,2107B32,000000000000232706,20211205,0900928459,,0.054,V64896,2107B3009,46,0901096879,,44.000,46.000,2107B32,10.01.2022,4430190652,,0.463,0.022,0.005,000004,9515856474,0.010,339.000,248.000
0000924825,VIJAY HARDWARE STORES- IND,"26, NASIA ROAD (BUS STAND)",INDORE,452001,,0,NA,NA,NA,SATISFACTORY,SATISFACTORY,20220107,110,kg/cm2,BS 3059:1987 PT 1 ERW 320,63.50 mm OD X3.660 mm THK X5.500 M.Fin Cut,000000000000232706,0182,3.500 mm,1250.00 mm,V64896,0901096879,2107B32,000000000000232706,20211205,0900928459,,0.054,V64896,2107B3009,50,0901096879,,45.000,47.000,2107B32,10.01.2022,4430190652,,0.463,0.022,0.005,000004,9515856474,0.010,334.000,243.000
0000924825,VIJAY HARDWARE STORES- IND,"26, NASIA ROAD (BUS STAND)",INDORE,452001,,0,NA,NA,NA,SATISFACTORY,SATISFACTORY,20220107,110,kg/cm2,BS 3059:1987 PT 1 ERW 320,63.50 mm OD X3.660 mm THK X5.500 M.Fin Cut,000000000000232706,0182,3.500 mm,1250.00 mm,V64901,0901096879,2107B31,000000000000232706,20211204,0900925319,,0.052,V64901,2107B3010,40,0901096879,,42.000,44.000,2107B31,10.01.2022,4430190652,,0.425,0.027,0.005,000004,9515856474,0.009,340.000,251.000
0000924825,VIJAY HARDWARE STORES- IND,"26, NASIA ROAD (BUS STAND)",INDORE,452001,,0,NA,NA,NA,SATISFACTORY,SATISFACTORY,20220107,110,kg/cm2,BS 3059:1987 PT 1 ERW 320,63.50 mm OD X3.660 mm THK X5.500 M.Fin Cut,000000000000232706,0182,3.500 mm,1250.00 mm,V64901,0901096879,2107B31,000000000000232706,20211204,0900925319,,0.052,V64901,2107B3010,46,0901096879,,43.000,45.000,2107B31,10.01.2022,4430190652,,0.425,0.027,0.005,000004,9515856474,0.009,341.000,253.000
0000924825,VIJAY HARDWARE STORES- IND,"26, NASIA ROAD (BUS STAND)",INDORE,452001,,0,NA,NA,NA,SATISFACTORY,SATISFACTORY,20220106,110,kg/cm2,BS 3059:1987 PT 1 ERW 320,63.50 mm OD X4.060 mm THK X6.100 M.Fin Cut,000000000000233458,0144,3.900 mm,1500.00 mm,T51806,0901096879,2107C31,000000000000233458,20211126,0900895634,,0.057,T51806,2107C3004,100,0901096879,,45.000,47.000,2107C31,10.01.2022,4430190652,,0.433,0.017,0.002,000001,9515864311,0.025,333.000,242.000
0000924825,VIJAY HARDWARE STORES- IND,"26, NASIA ROAD (BUS STAND)",INDORE,452001,,0,NA,NA,NA,SATISFACTORY,SATISFACTORY,20220106,110,kg/cm2,BS 3059:1987 PT 1 ERW 320,63.50 mm OD X4.060 mm THK X6.100 M.Fin Cut,000000000000233458,0144,3.900 mm,1500.00 mm,T51806,0901096879,2107C31,000000000000233458,20211126,0900895634,,0.057,T51806,2107C3004,44,0901096879,,44.000,46.000,2107C31,10.01.2022,4430190652,,0.433,0.017,0.002,000001,9515864311,0.025,334.000,245.000
0000827300,PANKAJ TRADING CORPORATION - DOM,"1402, Lodha Supremus,",MUMBAI,400013,,0,NA,NA,NA,SATISFACTORY,SATISFACTORY,20210618,110,kg/cm2,BS 3059:1987 PT 1 ERW 320,50.80 mm OD X3.660 mm THK X12.000 M.Fin Cut,000000000000234668,0030,3.500 mm,1100.00 mm,V49034,0901058974,1615C31,000000000000234668,20210601,0900210031,,0.050,V49034,1615C3002,15,0901058974,,40.000,37.000,1615C31,02.01.2022,4430190581,,0.420,0.020,0.005,000017,9515839498,0.008,357.000,277.000
