,,,,,,,,Statement (12 months),,,,,,,,,,,,,,,,,,
 Total Leasing and Marketing,,"37,192.32",,"5,303.21",,"-5,202.67",,"52,158.88",,"27,970.22",,"7,218.15",,"3,157.37",,"11,646.04",,"7,227.15",,"15,928.91",,"12,645.13",,"17,910.41",,"193,155.12"
General & Administrative,,,,,,,,,,,,,,,,,,,,,,,,,,
Operational Expenses due to Pandemic (recr),,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00
Administrative On-Site Office Rent 1,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00
Administrative On-Site Office Expenses 1,,"2,743.89",,98.35,,0.00,,98.35,,196.70,,98.35,,98.35,,132.85,,283.91,,98.35,,"2,422.04",,158.37,,"6,429.51"
Admin On-Site Office - Answering Service,,265.43,,265.43,,0.00,,530.86,,265.43,,265.43,,265.43,,265.43,,265.43,,265.43,,265.43,,265.43,,"3,185.16"
Admin On-Site Office - Training / Education,,201.70,,"2,550.00",,212.95,,"-1,437.62",,"1,007.02",,410.97,,320.00,,629.28,,642.52,,349.98,,320.00,,960.44,,"6,167.24"
Admin On-Site Office - Empl Travel / Mileage,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00
Admin On-Site Office - Empl Recognition,,0.00,,0.00,,0.00,,213.26,,0.00,,0.00,,25.00,,3.66,,0.00,,"1,220.65",,369.02,,0.00,,"1,831.59"
Admin On-Site Office - Supplies / Equipment,,816.79,,274.93,,395.49,,655.91,,549.46,,561.46,,404.04,,166.76,,850.05,,324.00,,237.73,,362.62,,"5,599.24"
,,382.23,,282.23,,-50.00,,897.69,,332.23,,466.46,,332.23,,332.23,,332.23,,332.23,,664.46,,-233.23,,"4,070.99"
Admin On-Site Office - Govt License / Permits,,588.03,,15.72,,0.00,,837.44,,253.61,,0.00,,0.00,,"2,227.38",,688.16,,665.96,,700.18,,97.42,,"4,697.58"
Admin On-Site Office - Banking Fees / Charges,,"1,850.47",,"1,497.16",,200.00,,"3,753.98",,"1,958.90",,"1,822.01",,"1,394.16",,212.63,,"2,916.03",,"1,920.06",,"1,350.39",,"2,188.55",,"21,064.34"
Admin On-Site Office - Computer Svcs / Fees,,"3,312.28",,"3,735.13",,"-3,217.52",,"3,315.08",,"8,312.17",,"1,917.55",,"1,748.03",,"7,629.68",,415.00,,"6,301.98",,"1,753.36",,"1,884.27",,"37,107.01"
,,556.48,,0.00,,462.09,,705.23,,317.11,,"1,047.98",,-378.38,,-113.98,,"1,088.60",,"1,561.70",,333.70,,"1,444.57",,"7,025.10"
Admin On-Site Office - Mobile Phone,,0.00,,127.90,,-517.90,,648.70,,65.00,,65.00,,-713.70,,0.00,,65.00,,65.00,,65.00,,0.00,,-130.00
 Admin On-Site Office - Cable / Internet Svc,,471.16,,0.00,,0.00,,"6,117.14",,"1,838.89",,"1,243.45",,"-4,426.63",,-212.64,,487.39,,468.78,,384.31,,953.62,,"7,325.47"
Admin On-Site Office - Uniforms,,0.00,,0.00,,0.00,,"3,500.00",,0.00,,0.00,,2.57,,892.43,,"1,500.00",,-20.28,,0.00,,0.00,,"5,869.58"
Dues and Subscriptions 1,,0.00,,0.00,,0.00,,0.00,,401.61,,0.00,,0.00,,197.63,,0.00,,0.00,,0.00,,0.00,,599.24
 Other General and Administrative Expense 1,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,281.00,,750.00,,0.00,,0.00,,0.00,,"1,031.00"
Legal Fees - Tenant Litigation,,329.76,,0.00,,-246.00,,"1,007.40",,0.00,,0.00,,0.00,,903.00,,597.04,,"2,378.09",,0.00,,0.00,,"4,969.29"
NonRecoverable Property Owner's Assoc (POA),,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00
Total General & Administrative,,"11,518.22",,"8,846.85",,"-2,760.89",,"20,843.42",,"15,498.13",,"7,898.66",,934.04,,"13,547.34",,"9,505.04",,"15,931.93",,"8,865.62",,"8,082.06",,"116,842.34"
Total Controllable Expenses,,"222,580.58",,"92,673.38",,"51,620.48",,"247,106.44",,"121,607.80",,"135,392.69",,"85,627.41",,"113,264.84",,"134,567.99",,"136,992.49",,"126,816.47",,"165,464.56",,"1,633,715.13"
 Non-Controllable Expenses,,,,,,,,,,,,,,,,,,,,,,,,,,
Management Fees,,,,,,,,,,,,,,,,,,,,,,,,,,
CBRE Property Management Fees,,750.00,,"1,663.41",,0.00,,"4,500.00",,"1,500.00",,750.00,,750.00,,750.00,,"1,500.00",,"2,436.00",,796.50,,796.50,,"16,192.41"
 3rd Party Property Management Fees 1,,"10,000.00",,"10,519.88",,0.00,,"21,869.14",,"10,821.92",,"10,414.40",,"10,000.00",,"10,530.83",,"10,534.35",,"10,624.71",,"10,620.98",,"10,761.20",,"126,697.41"
