,,,,,,,,Statement (12 months),,,,,,,,,,,,,,,,,,
,,,,,,,,,,Period = Jul 2021-Jun 2022,,,,,,,,,,,,,,,,
,,,,,,,,,Book = Accrual ; Tree = rm_disp_noi,,,,,,,,,,,,,,,,,
,,Jul 2021,,Aug 2021,,Sep 2021,,Oct 2021,,Nov 2021,,Dec 2021,,Jan 2022,,Feb 2022,,Mar 2022,,Apr 2022,,May 2022,,Jun 2022,,Total
 Branding Expenses,,0.00,,0.00,,0.00,,164.29,,0.00,,0.00,,500.00,,0.00,,0.00,,0.00,,0.00,,0.00,,664.29
Salary and Wages - Branding,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00
Marketing - Collaterals / Flyers,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00
Marketing - Banners / Flags,,0.00,,0.00,,"-1,500.00",,"1,500.00",,0.00,,-472.71,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,-472.71
Marketing - Marketing Technologies,,773.32,,709.36,,169.49,,"1,281.57",,725.53,,731.93,,731.93,,"1,012.93",,"1,012.93",,"1,118.04",,"1,630.14",,906.33,,"10,803.50"
Marketing - Prospect Refreshments,,292.25,,382.78,,0.00,,"1,439.86",,"1,808.38",,292.25,,270.60,,313.90,,301.97,,370.19,,566.40,,303.05,,"6,341.63"
Marketing - Resident Referrals,,0.00,,"1,500.00",,0.00,,"5,258.00",,0.00,,"1,500.00",,0.00,,0.00,,"-1,500.00",,0.00,,"1,000.00",,0.00,,"7,758.00"
Marketing - Locator / Brokers Fees,,0.00,,"1,994.00",,"1,736.00",,"10,307.50",,0.00,,"7,544.00",,0.00,,"2,980.00",,998.00,,"1,458.00",,"1,500.00",,"4,500.00",,"33,017.50"
Advertising - Internet,,"6,366.00",,"10,344.00",,0.00,,"9,283.63",,"11,302.90",,"2,822.97",,"1,428.00",,"5,761.92",,"5,767.27",,"11,734.80",,"6,817.54",,"4,868.05",,"76,497.08"
Advertising - Print,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00
