Entity_Name,code,acc,desc,txnType,nature,toReport
Tata BlueScope Steel Pvt,1000,310000,Vendor - Domestic,Vendor Balance,Payable,Yes
Tata BlueScope Steel Pvt,1000,328507,Provison - Accruals & Exp. (Revenue) -CSP,Provisions (Expense),Payable,Yes
Tata BlueScope Steel Pvt,1000,328506,Provison - Accruals & Exp. (Revenue),Provisions (Expense),Payable,Yes
Tata BlueScope Steel Pvt,1000,316037,GR/IR - SRM- Coilsothers(Purlins),Vendor - GRIR,Payable,Yes
Tata BlueScope Steel Pvt,1000,110000,Customer - Domestic,Customer Balance,Receivable,Yes
Tata BlueScope Steel Pvt,1000,111105,Customer - Retention,Customer Balance,Receivable,Yes
Tata BlueScope Steel Pvt,1000,111201,TDS Received - Customer,Customer - TDS,Receivable,No
Tata BlueScope Steel Pvt,1000,111202,TDS Received - Banks & Others,Customer - TDS,Receivable,No
Tata BlueScope Steel Pvt,1000,111222,WCT TDS Receivable Maharashtra,Customer Balance,Receivable,Yes
Tata BlueScope Steel Pvt,1000,310300,Customer - Advance against Sale,Advance from customers,Receivable,Yes
Tata BlueScope Steel Ltd,1000,316001,GR/IR - RM-HR Plates,Vendor - GRIR,Payable,Yes
Tata BlueScope Steel Pvt,1000,316001,GR/IR - RM-HR Plates,Vendor - GRIR,Payable,Yes
