companyCode,companyName,sapDocNo,reference,sapDocType,businessArea,fiscalYear,postingPeriod,docChqDate,postingDate,amountInLocalCurrency,SOA,localCurrency,amountInDocumentCurrency,documentCurrency,discountBaseAmount,gstAmount,netAmount,withHoldingTaxBaseAmount,withHoldingTaxAmount,vendorCustomer,vendorCustomerName,tradingPartner,text,hdrText,invSOReference,plant,purchasingDocument,deliveryNote,account,accountDescription,offsettingAccount,offsettingAccountName,grirOffsettingAccount,finalOffsettingAccount,finalOffsettingAccountName,wbsElement,postingKey,debitCredit,specialGLInd,reversalIndicator,clearingDocNo,clearingDate,entryDate,entryTime,nationalGST,grossAmountInLocalCurrency,deIndicator,poLine,entryLine
1000,Tata Steel Limited,44234302,TDS ON PROVISION,KR,9000,2020,12,31-03-2020,31-03-2020,"64,706.00","64,706.00",INR,"64,706.00",INR,0.00,0.00,"64,706.00",0.00,0.00,T018,TATA BLUESCOPE STEEL PRIVATE  LIMIT,,TDS on Year End Manual Prov FY 2020,TDS on Provisions Manual,V,,,,2408402,Vendor Reconciliation Account - Domestic,T018,TATA BLUESCOPE STEEL PRIVATE  LIMIT,,2408402,Vendor Reconciliation Account - Domestic,0,21,S,,,,,7/4/2020,4:14:06 PM,0.00,"64,706.00",,,2
1000,Tata Steel Limited,44234305,TDS ON PROVISION,KR,9000,2020,12,31-03-2020,31-03-2020,"-48,508.00","-48,508.00",INR,"-48,508.00",INR,0.00,0.00,"-48,508.00",0.00,0.00,T040,TATA BLUESCOPE STEEL PRIVATE  LIMIT,,TDS on Year End Manual Prov FY 2020,TDS on Provisions Manual,44234305,,,,2408402,Vendor Reconciliation Account - Domestic,2405215,Provisional Liability for TDS on Povision- Manual,,2405215,Provisional Liability for TDS on Povision- Manual,0,31,H,,,,,7/4/2020,4:14:09 PM,0.00,"-48,508.00",,,3
1000,Tata Steel Limited,44234305,TDS ON PROVISION,KR,9000,2020,12,31-03-2020,31-03-2020,"48,508.00","48,508.00",INR,"48,508.00",INR,0.00,0.00,"48,508.00",0.00,0.00,T040,TATA BLUESCOPE STEEL PRIVATE  LIMIT,,TDS on Year End Manual Prov FY 2020,TDS on Provisions Manual,V,,,,2408402,Vendor Reconciliation Account - Domestic,T040,TATA BLUESCOPE STEEL PRIVATE  LIMIT,,2408402,Vendor Reconciliation Account - Domestic,0,21,S,,,,,7/4/2020,4:14:09 PM,0.00,"48,508.00",,,2
1000,Tata Steel Limited,44234306,TDS ON PROVISION,KR,9000,2020,12,31-03-2020,31-03-2020,"-5,274.00","-5,274.00",INR,"-5,274.00",INR,0.00,0.00,"-5,274.00",0.00,0.00,T040,TATA BLUESCOPE STEEL PRIVATE  LIMIT,,TDS on Year End Manual Prov FY 2020,TDS on Provisions Manual,44234306,,,,2408402,Vendor Reconciliation Account - Domestic,2405215,Provisional Liability for TDS on Povision- Manual,,2405215,Provisional Liability for TDS on Povision- Manual,0,31,H,,,,,7/4/2020,4:14:11 PM,0.00,"-5,274.00",,,3
1000,Tata Steel Limited,44234306,TDS ON PROVISION,KR,9000,2020,12,31-03-2020,31-03-2020,"5,274.00","5,274.00",INR,"5,274.00",INR,0.00,0.00,"5,274.00",0.00,0.00,T040,TATA BLUESCOPE STEEL PRIVATE  LIMIT,,TDS on Year End Manual Prov FY 2020,TDS on Provisions Manual,V,,,,2408402,Vendor Reconciliation Account - Domestic,T040,TATA BLUESCOPE STEEL PRIVATE  LIMIT,,2408402,Vendor Reconciliation Account - Domestic,0,21,S,,,,,7/4/2020,4:14:11 PM,0.00,"5,274.00",,,2
1000,Tata Steel Limited,45001676,R040272105570,KZ,5010,2020,1,1/4/2019,1/4/2019,"1,996,973.00","1,996,973.00",INR,"1,996,973.00",INR,0.00,0.00,"1,996,973.00",0.00,0.00,T018,TATA BLUESCOPE STEEL PRIVATE  LIMIT,,,20190401-SERV2,45001676,,,,2408402,Vendor Reconciliation Account - Domestic,2200403,Cash Credit With HDFC- E -Payments Cleared Balance,,2200403,Cash Credit With HDFC- E -Payments Cleared Balance,0,25,S,,,45001676,1/4/2019,1/4/2019,5:51:48 PM,0.00,"1,996,973.00",,,1
1000,Tata Steel Limited,45004518,R190793184653,KZ,9000,2020,1,3/4/2019,3/4/2019,"137,519.56","137,519.56",INR,"137,519.56",INR,0.00,0.00,"137,519.56",0.00,0.00,T040,TATA BLUESCOPE STEEL PRIVATE  LIMIT,,,20190403-KGLO1,45004518,,,,2408402,Vendor Reconciliation Account - Domestic,2200403,Cash Credit With HDFC- E -Payments Cleared Balance,,2200403,Cash Credit With HDFC- E -Payments Cleared Balance,0,25,S,,,45004518,3/4/2019,3/4/2019,12:33:00 PM,0.00,"137,519.56",,,1
1000,Tata Steel Limited,45005501,R040472484972,KZ,9600,2020,1,3/4/2019,3/4/2019,"722,969.75","722,969.75",INR,"722,969.75",INR,0.00,0.00,"722,969.75",0.00,0.00,T018,TATA BLUESCOPE STEEL PRIVATE  LIMIT,,,20190403-SERV2,45005501,,,,2408402,Vendor Reconciliation Account - Domestic,2200403,Cash Credit With HDFC- E -Payments Cleared Balance,,2200403,Cash Credit With HDFC- E -Payments Cleared Balance,0,25,S,,,45005501,3/4/2019,3/4/2019,6:00:55 PM,0.00,"722,969.75",,,2
1000,Tata Steel Limited,45005501,R040472484972,KZ,9600,2020,1,3/4/2019,3/4/2019,"1,713,145.46","1,713,145.46",INR,"1,713,145.46",INR,0.00,0.00,"1,713,145.46",0.00,0.00,T018,TATA BLUESCOPE STEEL PRIVATE  LIMIT,,,20190403-SERV2,45005501,,,,2408402,Vendor Reconciliation Account - Domestic,2200403,Cash Credit With HDFC- E -Payments Cleared Balance,,2200403,Cash Credit With HDFC- E -Payments Cleared Balance,0,25,S,,,45005501,3/4/2019,3/4/2019,6:00:55 PM,0.00,"1,713,145.46",,,1
1000,Tata Steel Limited,45005501,R040472484972,KZ,9600,2020,1,3/4/2019,3/4/2019,"782,591.43","782,591.43",INR,"782,591.43",INR,0.00,0.00,"782,591.43",0.00,0.00,T018,TATA BLUESCOPE STEEL PRIVATE  LIMIT,,,20190403-SERV2,45005501,,,,2408402,Vendor Reconciliation Account - Domestic,2200403,Cash Credit With HDFC- E -Payments Cleared Balance,,2200403,Cash Credit With HDFC- E -Payments Cleared Balance,0,25,S,,,45005501,3/4/2019,3/4/2019,6:00:55 PM,0.00,"782,591.43",,,3
