companyCode,companyName,sapDocNo,reference,sapDocType,bussinessArea,fiscalYear,postingPeriod,docChqDate,postingDate,amountInLocalCurrency,SOA,localCurrency,amountInDocumentCurrency,documentCurrency,discountBaseAmount,gstAmount,netAmount,withHoldingTaxBaseAmount,withHoldingTaxAmount,vendorCustomer,vendorCustomerName,tradingPartner,text,hdrText,InvSOReference,plant,purchasingDocument,deliveryNote,account,accountDescription,offsettingAccount,offsettingAccountName,grirOffsettingAccount,finalOffsettingAccount,finalOffsettingAccountName,wbsElement,postingKey,debitCredit,specialGLInd,reversalInd,clearingDocNo,clearingDate,entryDate,entryTime,nationalGST,grossAmountInLocalCurrency,deIndicator,poLine,entryLine
1000,Tata BlueScope Steel Ltd,100144356,,AB,1101,2019,7,10/31/2019,10/31/2019,13079.89,13079.89,INR,13079.89,INR,13079.89,0,13079.89,0,0,318999,Tata Steel Limited,,Supply Retention,,100144356,,,,111105,Customer - Retention,111105,Customer - Retention,,111105,Customer - Retention,0,9,S,Y,,,,11/1/2019,10:44:14 AM,0,0,,,1
1000,Tata BlueScope Steel Ltd,100194026,,AB,1108,2019,9,12/25/2019,12/25/2019,-1769392.3,-1769392.3,INR,-1769392.3,INR,0,0,-1769392.3,0,0,313029,Tata Steel Limited,,,,100194026,,,,110000,Customer - Domestic,110000,Customer - Domestic,,110000,Customer - Domestic,0,17,H,,,100194026,12/25/2019,12/25/2019,8:56:34 AM,0,0,,,2
1000,Tata BlueScope Steel Ltd,1600000292,TDS APRIL TO SEP,DA,1101,2019,8,11/27/2019,11/27/2019,-247,-247,INR,-247,INR,-247,0,-247,0,0,312193,Tata Steel Limited ( Kalinganagar),,BBNT00115D TDS Ded @2% 12300.74 April To Sept-19,TDS APRIL TO SEPTEMBER,1600000292,,,,310300,Customer - Advance against Sale,111201,TDS Received - Customer,,111201,TDS Received - Customer,0,19,H,A,,,,11/27/2019,6:25:04 AM,0,0,,,10
1000,Tata BlueScope Steel Ltd,100173564,,AB,1108,2019,8,11/30/2019,11/30/2019,100485.26,100485.26,INR,100485.26,INR,0,0,100485.26,0,0,312193,Tata Steel Limited ( Kalinganagar),,CI1901101952,,61995,,2300051923/118,,110000,Customer - Domestic,110000,Customer - Domestic,,110000,Customer - Domestic,0,4,S,,,,,12/1/2019,3:34:50 PM,0,0,,,22
1000,Tata BlueScope Steel Ltd,100172891,,AB,1101,2019,8,11/30/2019,11/30/2019,7436,7436,INR,7436,INR,0,0,7436,0,0,304431,Tata Steel Limited (Tubes Division),,,,100172891,,,,310300,Customer - Advance against Sale,110000,Customer - Domestic,,110000,Customer - Domestic,0,9,S,A,,100172891,11/30/2019,12/1/2019,6:15:50 AM,0,0,,,2
1000,Tata BlueScope Steel Ltd,100173530,,AB,1109,2019,8,11/30/2019,11/30/2019,7308,7308,INR,7308,INR,0,0,7308,0,0,312193,Tata Steel Limited ( Kalinganagar),,TDS SI1904100036,,2316,,4700069343/172,,110000,Customer - Domestic,110000,Customer - Domestic,,110000,Customer - Domestic,0,4,S,,,,,12/1/2019,3:05:57 PM,0,0,,,2
1000,Tata BlueScope Steel Ltd,100194025,,AB,1112,2019,9,12/25/2019,12/25/2019,36613.61,36613.61,INR,36613.61,INR,0,0,36613.61,0,0,312193,Tata Steel Limited ( Kalinganagar),,CI1902102992,,62150,,3700800558/118,,110000,Customer - Domestic,110000,Customer - Domestic,,110000,Customer - Domestic,0,4,S,,,,,12/25/2019,8:54:39 AM,0,0,,,21
1000,Tata BlueScope Steel Ltd,112995,CI1904107028,RV,1109,2019,11,2/22/2020,2/22/2020,64887.39,54989.31,INR,64887.39,INR,0,9898.08,54989.31,0,0,312193,Tata Steel Limited ( Kalinganagar),,,,62805,,3700802539/118,,110000,Customer - Domestic,501005,Revenue DS - Domestic Sales,,501005,Revenue DS - Domestic Sales,0,1,S,,,,,2/22/2020,4:27:08 PM,0,0,,,1
1000,Tata BlueScope Steel Ltd,110409,CI1902102986,RV,1112,2019,9,12/21/2019,12/21/2019,40536.49,34352.96,INR,40536.49,INR,0,6183.53,34352.96,0,0,312193,Tata Steel Limited ( Kalinganagar),,,,62146,,3700800558/118,,110000,Customer - Domestic,501005,Revenue DS - Domestic Sales,,501005,Revenue DS - Domestic Sales,0,1,S,,,100194025,12/25/2019,12/21/2019,1:49:08 PM,0,0,,,1
1000,Tata BlueScope Steel Ltd,110858,CI1902103146,RV,1112,2019,9,12/29/2019,12/29/2019,228095.89,193301.6,INR,228095.89,INR,0,34794.29,193301.6,0,0,312193,Tata Steel Limited ( Kalinganagar),,,,62191,,3700800558/118,,110000,Customer - Domestic,501005,Revenue DS - Domestic Sales,,501005,Revenue DS - Domestic Sales,0,1,S,,,100199799,12/31/2019,12/29/2019,4:25:14 PM,0,0,,,1
1000,Tata BlueScope Steel Ltd,1600000315,TDS APRIL TO SEP,DA,1101,2019,8,11/29/2019,11/29/2019,-7172,-7172,INR,-7172,INR,-7172,0,-7172,0,0,312193,Tata Steel Limited ( Kalinganagar),,RCHT00110F TDS Ded @2% 358580 April To Sept-19,TDS APRIL TO SEP,1600000315,,,,310300,Customer - Advance against Sale,111201,TDS Received - Customer,,111201,TDS Received - Customer,0,19,H,A,,100173563,11/30/2019,11/29/2019,10:54:58 PM,0,0,,,39
1000,Tata BlueScope Steel Ltd,100173564,,AB,1108,2019,8,11/30/2019,11/30/2019,114495.08,114495.08,INR,114495.08,INR,0,0,114495.08,0,0,312193,Tata Steel Limited ( Kalinganagar),,CI1901101932,,61997,,2300051923/118,,110000,Customer - Domestic,110000,Customer - Domestic,,110000,Customer - Domestic,0,4,S,,,,,12/1/2019,3:34:50 PM,0,0,,,10
1000,Tata BlueScope Steel Ltd,100199799,,AB,1112,2019,9,12/31/2019,12/31/2019,5230.52,5230.52,INR,5230.52,INR,0,0,5230.52,0,0,312193,Tata Steel Limited ( Kalinganagar),,CI1902103164,,62201,,3700800558/118,,110000,Customer - Domestic,110000,Customer - Domestic,,110000,Customer - Domestic,0,4,S,,,,,12/31/2019,6:42:26 AM,0,0,,,22
1000,Tata BlueScope Steel Ltd,112996,CI1904107029,RV,1109,2019,11,2/22/2020,2/22/2020,64887.39,54989.31,INR,64887.39,INR,0,9898.08,54989.31,0,0,312193,Tata Steel Limited ( Kalinganagar),,,,62772,,3700802539/118,,110000,Customer - Domestic,501005,Revenue DS - Domestic Sales,,501005,Revenue DS - Domestic Sales,0,1,S,,,,,2/22/2020,4:28:19 PM,0,0,,,1
1000,Tata BlueScope Steel Ltd,100141449,,AB,1109,2019,7,10/28/2019,10/28/2019,1584872.16,1584872.16,INR,1584872.16,INR,0,0,1584872.16,0,0,312193,Tata Steel Limited ( Kalinganagar),,CI1904103976,,61155,,3700796847/118,,110000,Customer - Domestic,110000,Customer - Domestic,,110000,Customer - Domestic,0,4,S,,,,,10/28/2019,8:54:48 AM,0,0,,,21
1000,Tata BlueScope Steel Ltd,100173564,,AB,1108,2019,8,11/30/2019,11/30/2019,74782.5,74782.5,INR,74782.5,INR,0,0,74782.5,0,0,312193,Tata Steel Limited ( Kalinganagar),,CI1901101949,,61993,,2300051923/118,,110000,Customer - Domestic,110000,Customer - Domestic,,110000,Customer - Domestic,0,4,S,,,,,12/1/2019,3:34:50 PM,0,0,,,19
1000,Tata BlueScope Steel Ltd,1400007274,,DZ,1101,2019,7,10/31/2019,10/31/2019,-7216477.74,-7216477.74,INR,-7216477.74,INR,0,0,-7216477.74,0,0,318999,Tata Steel Limited,,IL36701910315681|HDFCR52019103,IL36701910315681|HDFCR520,1400007274,,,Receipt,310300,Customer - Advance against Sale,101105,Stanchart- Clearing Pune,,101105,Stanchart- Clearing Pune,0,19,H,A,,100144356,10/31/2019,11/1/2019,10:36:59 AM,0,0,,,2
1000,Tata BlueScope Steel Ltd,109672,CI1901101941,RV,1108,2019,8,11/29/2019,11/29/2019,182162.5,154375,INR,182162.5,INR,0,27787.5,154375,0,0,312193,Tata Steel Limited ( Kalinganagar),,,,61044,,2300051923/118,,110000,Customer - Domestic,501000,Revenue DS - Domestic Trading,,501000,Revenue DS - Domestic Trading,0,1,S,,,100173564,11/30/2019,11/29/2019,9:03:08 PM,0,0,,,1
1000,Tata BlueScope Steel Ltd,100190616,,AB,1109,2019,9,12/20/2019,12/20/2019,1765280,1765280,INR,1765280,INR,0,0,1765280,0,0,311155,Tata steel (Engineering Services),,CI1904105109,,62234,,4405134763/133,,110000,Customer - Domestic,110000,Customer - Domestic,,110000,Customer - Domestic,0,4,S,,,100229130,1/26/2020,12/20/2019,4:04:51 PM,0,0,,,1
1000,Tata BlueScope Steel Ltd,100162620,,AB,1109,2019,8,11/23/2019,11/23/2019,-506582.87,-506582.87,INR,-506582.87,INR,0,0,-506582.87,0,0,313029,Tata Steel Limited,,,,100162620,,,,110000,Customer - Domestic,110000,Customer - Domestic,,110000,Customer - Domestic,0,17,H,,,100162620,11/23/2019,11/23/2019,4:06:20 PM,0,0,,,3
1000,Tata BlueScope Steel Ltd,109114,SI1901100055,RV,1108,2019,8,11/19/2019,11/19/2019,501797.01,425251.7,INR,501797.01,INR,0,76545.31,425251.7,0,0,313029,Tata Steel Limited,,,,2423,,3000126116/054,,110000,Customer - Domestic,501020,Revenue DS - Sale of Services Domestic,,501020,Revenue DS - Sale of Services Domestic,0,1,S,,,100162620,11/23/2019,11/19/2019,2:11:28 PM,0,0,,,1
1000,Tata BlueScope Steel Ltd,100198535,,AB,1101,2019,9,12/29/2019,12/29/2019,14093.99,14093.99,INR,14093.99,INR,0,0,14093.99,0,0,318999,Tata Steel Limited,,TDS SI1901100042,,2388,,3000125388/806,,110000,Customer - Domestic,110000,Customer - Domestic,,110000,Customer - Domestic,0,4,S,,,,,12/29/2019,5:24:04 PM,0,0,,,1
1000,Tata BlueScope Steel Ltd,100194025,,AB,1112,2019,9,12/25/2019,12/25/2019,387748,387748,INR,387748,INR,0,0,387748,0,0,312193,Tata Steel Limited ( Kalinganagar),,CI1902102903,,62149,,2300052816/118,,110000,Customer - Domestic,110000,Customer - Domestic,,110000,Customer - Domestic,0,4,S,,,,,12/25/2019,8:54:39 AM,0,0,,,5
