Company_Code,Company_Name,SAP_Doc_Number,Reference,Document_Type,Business_Area,Branch/Alloc.,Fiscal_Year,Posting_Period,DocChq_Date,Posting_Date,Amount_in_Local_Currency ,Local_Currency,Amount_in_Document_Currency ,Document_Currency,Discount_Base_Amount,GST_Amount,Net_Amount ,Withholding_Tax_Base_Amount,Withholding_Tax_Amount,VendorCustomer,VendorCustomer_Name,Trading_Partner,Text_                                                                                                    ,HDR_Text                                                                                                    ,InvSO_Reference,Plant,Purchasing_Document,Delivery_Note,Account,Account_Description,Offsetting_Account,Offsetting_Acct_Name,GRIR_Offsetting_Account,Final_Offsetting_Account,Final_Offsetting_Acct_Name,WBS_Element,Posting_Key,DebitCredit,Special_GL_Ind,Reversal_Indicator,Clearing_Doc,Clearing_Date,Entry_date,Entry_Time,Notional_GST,Gross_Amount_In_Local_Currency,DE_Indicator,PO_Line,Entry_Line,
1000,Tata BlueScope Steel Ltd,101094,SI1901100005,RV,1108,85,2019,1,30/04/2019,30/04/2019,"3,32,796.58 ",INR,332796.58,INR,0,50765.58,282031,0,0,312193,Tata Steel Limited ( Kalinganagar),,,,2346,,4700070596/172,,110000,Customer - Domestic,501020,Revenue DS - Sale of Services Domestic,,501020,Revenue DS - Sale of Services Domestic,0,1,S,,,100005107,30/04/2019,30/04/2019,0.48849537037037,0,0,,,1,
1000,Tata BlueScope Steel Ltd,101106,SI1901100005,RV,1108,93,2019,1,30/04/2019,30/04/2019,"(3,32,796.58)",INR,-332796.58,INR,0,"(50,765.58)",-282031,0,0,312193,Tata Steel Limited ( Kalinganagar),,,,2346,,4700070596/172,,110000,Customer - Domestic,501020,Revenue DS - Sale of Services Domestic,,501020,Revenue DS - Sale of Services Domestic,0,11,H,,,100005107,30/04/2019,30/04/2019,0.537094907407407,0,0,,,1,
1000,Tata BlueScope Steel Ltd,101111,SI1901100006,RV,1108,96,2019,1,30/04/2019,30/04/2019,"3,32,796.58 ",INR,332796.58,INR,0,50765.58,282031,0,0,312193,Tata Steel Limited ( Kalinganagar),,,,2346,,4700070596/172,,110000,Customer - Domestic,501020,Revenue DS - Sale of Services Domestic,,501020,Revenue DS - Sale of Services Domestic,0,1,S,,,100005107,30/04/2019,30/04/2019,0.586516203703704,0,0,,,1,
1000,Tata BlueScope Steel Ltd,101141,SI1901100007,RV,1108,113,2019,1,30/04/2019,30/04/2019,"3,05,436.16 ",INR,305436.16,INR,0,46591.96,258844.2,0,0,312193,Tata Steel Limited ( Kalinganagar),,,,2346,,4700070596/172,,110000,Customer - Domestic,501020,Revenue DS - Sale of Services Domestic,,501020,Revenue DS - Sale of Services Domestic,0,1,S,,,100005107,30/04/2019,30/04/2019,0.728159722222222,0,0,,,1,
1000,Tata BlueScope Steel Ltd,101118,SI1904100009,RV,1109,116,2019,1,30/04/2019,30/04/2019,"4,78,962.00 ",INR,478962,INR,0,73062,405900,0,0,312193,Tata Steel Limited ( Kalinganagar),,,,2316,,4700069343/172,,110000,Customer - Domestic,501020,Revenue DS - Sale of Services Domestic,,501020,Revenue DS - Sale of Services Domestic,0,1,S,,,100005107,30/04/2019,30/04/2019,0.63212962962963,0,0,,,1,
1000,Tata BlueScope Steel Ltd,101138,SI1904100010,RV,1109,117,2019,1,30/04/2019,30/04/2019,"3,83,618.00 ",INR,383618,INR,0,58518,325100,0,0,312193,Tata Steel Limited ( Kalinganagar),,,,2316,,4700069343/172,,110000,Customer - Domestic,501020,Revenue DS - Sale of Services Domestic,,501020,Revenue DS - Sale of Services Domestic,0,1,S,,,100005107,30/04/2019,30/04/2019,0.719502314814815,0,0,,,1,
1000,Tata BlueScope Steel Ltd,101159,SI1904100011,RV,1109,118,2019,1,30/04/2019,30/04/2019,"2,92,794.58 ",INR,292794.58,INR,0,44663.58,248131,0,0,312193,Tata Steel Limited ( Kalinganagar),,,,2316,,4700069343/172,,110000,Customer - Domestic,501020,Revenue DS - Sale of Services Domestic,,501020,Revenue DS - Sale of Services Domestic,0,1,S,,,100005107,30/04/2019,30/04/2019,0.772083333333333,0,0,,,1,
1000,Tata BlueScope Steel Ltd,101283,CI1901100312,RV,1101,119,2019,2,04/05/2019,04/05/2019,"12,96,079.47 ",INR,1296079.47,INR,0,"1,97,707.04 ",1098372.43,0,0,318999,Tata Steel Limited,,,,101283,,,,110000,Customer - Domestic,501040,Project Revenue - Domestic,,501040,Project Revenue - Domestic,0,1,S,,,100022980,31/05/2019,04/05/2019,0.567870370370371,0,0,,,1,
1000,Tata BlueScope Steel Ltd,101288,CI1901100316,RV,1101,120,2019,2,04/05/2019,04/05/2019,"18,42,131.50 ",INR,1842131.5,INR,0,"2,81,003.10 ",1561128.4,0,0,318999,Tata Steel Limited,,,,101288,,,,110000,Customer - Domestic,501040,Project Revenue - Domestic,,501040,Project Revenue - Domestic,0,1,S,,,100022980,31/05/2019,04/05/2019,0.708148148148148,0,0,,,1,
1000,Tata BlueScope Steel Ltd,101285,CI1901100313,RV,1101,121,2019,2,04/05/2019,04/05/2019,"15,38,460.64 ",INR,1538460.64,INR,0,"2,34,680.42 ",1303780.22,0,0,318999,Tata Steel Limited,,,,101285,,,,110000,Customer - Domestic,501040,Project Revenue - Domestic,,501040,Project Revenue - Domestic,0,1,S,,,100022980,31/05/2019,04/05/2019,0.619409722222222,0,0,,,1,
