,,,,,,,,,,Statement (12 months),,,,,,,,,,,,,,,,,,
,,,,,,,,,,Period = Sep 2021-Aug 2022,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Book = Accrual ; Tree= ysi_cf,,,,,,,,,,,,,,,,,,
,,,,Sep 2021,,Oct 2021,,Nov 2021,,Dec 2021,,Feb 2022,,,,Mar 2022,,Apr 2022,,May 2022,,Jun 2022,,Jul 2022,,Aug 2022,,Total
Utilities,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51061700,,Rates charges utities,,"25,692.93",,"20,265.75",,"13,792.99",,"22,216.96",,"25,711.95",,,,"32,344.13",,"19,585.68",,"23,806.97",,"26,054.95",,"25,107.41",,"25,201.05",,"293,086.64"
51069995,,Total Utilities,,"25,692.93",,"20,265.75",,"13,792.99",,"22,216.96",,"25,711.95",,,,"32,344.13",,"19,585.68",,"23,806.97",,"26,054.95",,"25,107.41",,"25,201.05",,"293,086.64"
51999995,,Total Non Recoverable expenses,,"29,865.97",,"26,658.61",,"32,357.36",,"37,424.32",,"33,145.96",,,,"38,417.69",,"24,866.25",,"35,604.65",,"28,750.54",,"44,319.15",,"30,122.09",,"401,827.40"
Recoverable expenses,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61020000,,Property Management Fees,,,,,,,,,,,,,,,,,,,,,,,,,,
 61021000,, Property management fees,,"14,990.71",,"15,606.41",,"15,085.80",,"312,746.63",,"44,843.94",,,,"43,935.13",,"44,788.71",,"43,379.58",,"18,521.80",,"46,540.35",,"43,657.37",,"689,310.72"
61029995,,Total Property Management Fees,,"14,990.71",,"15,606.41",,"15,085.80",,"312,746.63",,"44,843.94",,,,"43,935.13",,"44,788.71",,"43,379.58",,"18,521.80",,"46,540.35",,"43,657.37",,"689,310.72"
61040000,,General and Administrative,,,,,,,,,,,,,,,,,,,,,,,,,,
Payroll,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61041010,, Salaries GA,,"15,107.52",,"20,994.66",,"19,140.96",,"45,657.61",,"21,213.04",,,,"22,030.18",,"21,089.40",,"22,865.48",,"21,839.37",,"22,200.63",,"22,491.74",,"274,217.87"
61041995,,Total Payroll,,"15,107.52",,"20,994.66",,"19,140.96",,"45,657.61",,"21,213.04",,,,"22,030.18",,"21,089.40",,"22,865.48",,"21,839.37",,"22,200.63",,"22,491.74",,"274,217.87"
 General and Administrative Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 61042040,,Training/Dues/Subscription GA,,800.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,800.00,,13.00,,42.00,,0.00,,"1,655.00"
 61042050,,Supplies/Materials GA,,238.70,,0.00,,"1,788.00",,42.82,,"1,043.66",,,,504.72,,781.56,,843.84,,981.66,,959.02,,"1,258.38",,"8,141.36"
61042060,,Office rent GA,,"5,691.88",,"5,691.88",,"5,691.88",,"5,691.88",,"5,848.14",,,,"5,848.14",,"5,848.14",,"5,848.14",,"5,848.14",,"5,848.14",,"5,848.14",,"70,490.20"
61042110,,Telephone/Fax GA,,"2,955.12",,"1,899.90",,"4,529.34",,"3,587.96",,"3,368.28",,,,"3,502.88",,"3,734.46",,"3,507.70",,"3,456.86",,"3,040.42",,"3,666.96",,"40,746.70"
61042130,, Postage/Courier GA,,0.00,,0.00,,0.00,,0.00,,0.00,,7.96,,0.00,,0.00,,0.00,,0.00,,0.00,,8.58,,16.54
 61042160,,Entertainment GA,,0.00,,422.12,,0.00,,24.96,,0.00,,0.00,,0.00,,139.54,,0.00,,0.00,,211.42,,0.00,,798.04
 61042910,, Other GA,,65.10,,173.36,,3.86,,32.72,,84.28,,99.32,,167.14,,158.97,,31.48,,82.04,,-7.96,,46.44,,866.07
61042990,,Other recoverable common expenses GA,,"24,661.25",,"24,661.25",,"24,661.25",,"24,661.25",,"24,661.25",,,,"24,661.25",,"24,661.25",,"24,661.25",,"24,661.25",,"24,661.25",,"24,661.25",,"295,935.00"
61042995,,Total General and Administrative Other,,"34,412.05",,"32,848.51",,"36,666.61",,"34,041.59",,"35,028.61",,,,"34,684.13",,"35,323.92",,"35,629.45",,"35,042.95",,"34,754.29",,"35,489.75",,"418,648.91"
61049995,,Total General and Administrative,,"49,519.57",,"53,843.17",,"55,807.57",,"79,699.20",,"56,241.65",,,,"56,714.31",,"56,413.32",,"58,494.93",,"56,882.32",,"56,954.92",,"57,981.49",,"692,866.78"
Utilities,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61061200,,Electric common area,,"-25,692.93",,"-20,265.75",,"-13,792.99",,"-22,216.96",,"-25,711.95",,,,"-32,344.13",,"-19,585.68",,"-23,806.97",,"-26,054.95",,"-25,107.41",,"-25,201.05",,"-293,086.64"
 61061300,,Electric building,,"47,354.62",,"28,515.61",,"22,715.41",,"32,468.55",,"43,610.53",,,,"54,715.00",,"28,010.22",,"30,529.68",,"41,972.31",,"37,301.16",,"38,827.52",,"449,054.85"
61061700,,Water/Sewer building,,"8,636.90",,"1,048.56",,569.90,,"1,161.11",,"1,155.17",,,,"1,260.86",,"1,908.93",,"1,866.31",,"1,952.95",,"7,403.50",,"4,196.23",,"32,546.44"
61069990,,Other utilities,,312.45,,640.00,,640.00,,640.00,,640.00,,,,640.00,,640.00,,640.00,,640.00,,640.00,,640.00,,"7,352.45"
61069995,,Total Utilities,,"30,611.04",,"9,938.42",,"10,132.32",,"12,052.70",,"19,693.75",,,,"24,271.73",,"10,973.47",,"9,229.02",,"18,510.31",,"20,237.25",,"18,462.70",,"195,867.10"
Repairs and Maintenance,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 61081000,, Salaries RM,,"19,486.38",,"21,623.32",,"30,652.34",,"49,685.92",,"29,509.52",,,,"29,438.42",,"42,692.72",,"31,587.52",,"26,162.86",,"27,262.46",,"25,527.72",,"359,877.56"
61081600,,Electric RM,,0.00,,584.06,,"2,709.14",,"5,200.00",,666.14,,,,0.00,,211.36,,"2,265.86",,675.20,,"1,124.98",,759.10,,"15,428.72"
61081800,,Elevator RM,,840.00,,"5,241.89",,540.00,,658.00,,0.00,,0.00,,329.00,,"6,250.40",,"6,698.50",,"10,051.60",,"8,898.72",,0.00,,"39,508.11"
 61081900,,Elevator service contract RM,,"4,551.20",,"4,551.20",,"4,551.20",,"4,551.20",,"4,700.44",,,,"4,700.44",,"4,700.44",,"4,700.44",,"4,700.44",,"4,700.44",,"4,700.44",,"55,808.32"
61082400,,Exterminating/Pest control building RM,,172.00,,172.00,,422.00,,172.00,,172.00,,,,184.04,,178.02,,178.02,,178.02,,178.02,,178.02,,"2,356.14"
61082500,,External RM,,0.00,,"1,970.00",,0.00,,0.00,,0.00,,0.00,,"3,549.00",,"2,244.48",,0.00,,0.00,,0.00,,"1,775.00",,"9,538.48"
