,,,,,,,,,,,,SAMPLE ASSET 45,,,,,,,,,,,,,,,,
,,,,,,,,,,Statement (12 months),,,,,,,,,,,,,,,,,,
,,,,,,,,,,Period = Sep 2021-Aug 2022,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Book=Accrual;Tree=ysi_cf,,,,,,,,,,,,,,,,,,
,,,,Sep 2021,,Oct 2021,,Nov 2021,,Dec 2021,,Feb 2022,,,, Mar 2022,,Apr 2022,,May 2022,, Jun 2022,,Jul 2022,,Aug 2022,,Total
90105000,,Depreciation,,,,,,,,,,,,,,,,,,,,,,,,,,
90105100,,Depreciation of buildings,,"144,867.70",,"144,867.70",,"144,867.70",,"144,867.70",,"-144,867.70",,,,0.00,,0.00,,0.00,,"-1,593,444.70",,-100.00,,0.00,,"-1,014,073.90"
90105120,,Depreciation of investment properties,,"1,441.08",,"1,441.08",,"1,441.08",,"1,441.08",,"-1,441.08",,,,0.00,,0.00,,0.00,,"-15,851.88",,0.00,,0.00,,"-10,087.56"
90105995,,Total Depreciation,,"146,308.78",,"146,308.78",,"146,308.78",,"146,308.78",,"-146,308.78",,,,0.00,,0.00,,0.00,,"-1,609,296.58",,-100.00,,0.00,,"-1,024,161.46"
90109995,,Total Non Operating Expenses,,"325,908.64",,"312,789.57",,"331,354.04",,"313,394.39",,"32,806.67",,,,"179,441.16",,"139,872.08",,"253,137.78",,"-1,360,069.72",,"254,103.66",,"327,086.32",,"1,442,596.49"
90199995,, Net Non Operating Income (Expense),,"-325,908.64",,"-312,789.57",,"-331,354.04",,"-313,394.39",,"-32,806.67",,,,"-179,441.16",,"-139,872.08",,"-253,137.78",,"1,360,069.72",,"-254,103.66",,"-327,086.32",,"-1,442,596.49"
90999995,,TOTAL NET INCOME (EXPENSE),,"856,125.62",,"837,210.65",,"840,256.03",,"-210,100.11",,"1,071,177.13",,,,"941,187.73",,"989,091.85",,"771,988.75",,"2,564,796.07",,"837,525.05",,"842,353.41",,"11,182,466.93"
99999999,,TOTAL ALL,,"856,125.62",,"837,210.65",,"840,256.03",,"-210,100.11",,"1,071,177.13",,,,"941,187.73",,"989,091.85",,"771,988.75",,"2,564,796.07",,"837,525.05",,"842,353.41",,"11,182,466.93"
,,ADJUSTMENTS,,,,,,,,,,,,,,,,,,,,,,,,,,
13601268,,Parking Lot/Garage CapEx,,0.00,,0.00,,0.00,,"-52,500.00",,"-1,420.80",,,,"-7,152.00",,"-53,884.80",,86.66,,"-15,728.00",,"-4,000.00",,"-6,000.00",,"-140,598.94"
13601274,,Interior Upgrades CapEx,,0.00,,0.00,,0.00,,"-10,000.00",,0.00,,0.00,,-48.26,,0.00,,0.00,,"-59,507.72",,0.00,,907.72,,"-68,648.26"
13601289,,Total CapEx improvements in US Investment Properti,,0.00,,0.00,,0.00,,"-62,500.00",,"-1,420.80",,,,"-7,200.26",,"-53,884.80",,86.66,,"-75,235.72",,"-4,000.00",,"-5,092.28",,"-209,247.20"
,,TOTAL ADJUSTMENTS,,0.00,,0.00,,0.00,,"-62,500.00",,"-1,420.80",,,,"-7,200.26",,"-53,884.80",,86.66,,"-75,235.72",,"-4,000.00",,"-5,092.28",,"-209,247.20"
,,CASH FLOW,,"856,125.62",,"837,210.65",,"840,256.03",,"-272,600.11",,"1,069,756.33",,,,"933,987.47",,"935,207.05",,"772,075.41",,"2,489,560.35",,"833,525.05",,"837,261.13",,"10,973,219.73"
