,,,,ilRentRoll,,,,,,,,,,,,,,
,,,,As of Date: 06/30/2022,,,,,,,,,,,,,,
Property,,Lease To,,Deposit,,(YIN),,Date,,PSF,,Amount,,Begin,,,,End
Occupied,,12/31/22,,$0.000.00,,N,,,,,,,,,,,,
00500B,,11/01/12,,$43.71 $0.00 0.00,,Y,,07/01/22,,$3.73,,0.00,,12/31/22,,,,
,,,,,,,,,,,,"1,817.67",,12/31/22,,,,
,,,,,,,,,,,,203.52,,12/31/22,,,,
00130,,12/31/22,,$3.64$43.71$0.000.00,,N,,07/01/22,,$3.73,,0.00,,12/31/22,,,,
,,,,,,,,,,,,328.66,,12/31/22,,,,
,,,,,,,,,,,,36.80,,12/31/22,,,,
00140,,01/01/10 -,,$4.80 $57.59 $0.00 0.00,,N,,"$15,450.54",,$4.92,,0.00,,12/31/22,,,,
,,,,,,,,,,,,625.08,,12/31/22,,,,
,,,,,,,,,,,,69.99,,12/31/22,,,,
STRPA,,04/01/10 -,,$1.68 $20.17 $0.00 0.00,,N,,07/01/22,,$1.72,,0.00,,12/31/22,,,,
,,,,,,,,,,,,0.00,,12/31/22,,,,
,,,,,,,,,,,,0.00,,12/31/22,,,,
"00400,00600",,04/01/10-,,"150,043 $504,141.99 $3.36 $40.32 $0.00 0.00",,N,,07/01/22,,"$516,749.10 $3.44",,0.00,,12/31/22,,,,
,,,,,,,,,,,,"30,640.18",,12/31/22,,,,
,,,,,,,,,,,,"3,430.68",,12/31/22,,,,
00150F,,12/31/22,,$2.89 $34.67 $0.00 0.00,,N,,07/01/22,,$2.96,,,,,,,,
"ICF Consulting Group, Inc/31/22",,11/01/12-,,0.00,,N,,07/01/22,,$5.37,,,,,,,,
,,,,,,,,,,,,0.00,,12/31/22,,,,
,,,,,,,,,,,,"3,259.40",,12/31/22,,,,
,,,,,,,,,,,,364.94,,12/31/22,,,,
00500A,,12/31/22,,$3.64$43.71$0.000.00,,N,,07/01/22,,$3.73,,,,,,,,
00500A,,11/01/12-,,0.00,,N,,07/01/22,,$12.24,,0.00,,12/31/22,,,,
,,,,,,,,,,,,"1,430.34",,12/31/22,,,,
,,,,,,,,,,,,160.15,,12/31/22,,,,
,,,,$3.64$43.71$0.00$0.00,,,,,,,,,,,,,,
00210,,02/28/23,,"$30.78 $0.00 4,273.85",,N,,,,,,178.48,,02/28/23,,,,
,,,,,,,,,,,,277.95,,02/28/23,,,,
,,,,,,,,,,,,178.48,,02/28/23,,,,
,,,,,,,,,,,,"-5,912.33",,02/28/23,,,,
,,,,,,,,,,,,277.95,,02/28/23,,,,
GAR01,,Vacant,,$0.00 0.00,,,,,,,,,,,,,,
GAR04,,Vacant,,$0.000.00,,,,,,,,,,,,,,
