,,,,,,SAMPLE ASSET 123,,,,,,,,,,2:02 pm,,,,,,,,,,
,,,,,,,,,,,,INCOME STATEMENT,,,,,,,,,,,,,,
,,,,,,,,,,,,BUDGET COMPARISON,,,,,,,,,,,,,,
,,,,,,,,,,"For the Period Ended August 31, 2022",,,,,,,,,,,,,,,,
Account,,SEP 21,,OCT 21,,NOV 21,,DEC 21,,JAN 22,,MAR 22,,,,APR 22,,MAY 22,,JUN 22,,JUL 22,,AUG 22,,TOTAL
Title,,,,,,,,,,,,,,,,,,,,,,,,,,
MECHANICAL EQUIP,,"29,144",,"26,170",,"11,907",,"21,037",,"14,448",,"10,296",,,,"21,538",,"14,713",,"51,935",,"40,478",,"17,548",,"277,762"
PAINTING,,"12,327",,"21,629",,"9,439",,"6,051",,,,"38,686",,,,"36,630",,"14,446",,"37,467",,"24,488",,"18,671",,"219,834"
LANDSCAPING,,"2,767",,223,,96,,,,,,"3,245",,,,"2,073",,947,,"2,191",,"22,196",,"20,100",,"63,398"
OFFICE/COMMUNITY,,"7,663",,571,,"13,591",,"(17,854)",,,,"8,904",,,,,,157,,"7,595",,"15,700",,661,,"37,057"
POOL/SPA,,,,339,,,,,,"1,340",,340,,,,,,"3,959",,,,,,,,"5,978"
PAVING,,,,,,,,,,,,,,,,,,,,"5,109",,,,,,"5,109"
ROOF,,,,,,,,181,,,,,,,,,,,,,,,,,,181
REHAB,,"59,889",,"84,494",,"93,990",,"94,274",,"18,899",,"25,439",,,,"57,392",,"55,197",,"62,996",,"47,844",,"24,766",,"668,065"
REHAB LABOR,,"32,077",,"15,425",,"62,945",,"(581,461)",,,,,,,,,,,,,,,,,,"(471,014)"
INTERIOR BUILDING,,"9,676",,"7,121",,9.438,,"5,048",,417,,6.964,,,,"6,837",,4.715,,"5,559",,"4,900",,4.757,,69.823
TTL CAPITAL EXP.,,"240,873",,"255,838",,"299,692",,"(355,809)",,"98,709",,"161,345",,,,"235,212",,"165,510",,"289,746",,"242,173",,"140,071",,"1,914,250"
PROPERTY N.O.I.,,"574,351",,"445,216",,"489,128",,"1,111,463",,"711,788",,"698,338",,,,"456,336",,"689,480",,"464,110",,"659,540",,"693,566",,"7,592,207"
