"particular","organisation_id","deal_id","ledger","deal_name","count"
Count of Anchord Files,b6becb93-4b72-4e45-9c12-e55508a29a1c,"0f29e43b-3940-4aff-b84a-b249cf6a879c",Metachain,"Partners Group Direct Equity V (USD) C-I, L.P.",49
Count of Anchord Files,b6becb93-4b72-4e45-9c12-e55508a29a1c,"36ee97bc-1cf4-42aa-ad9b-f2eeb31c34e3",Quorum,BCP VI ,38
Count of Anchord Files,b6becb93-4b72-4e45-9c12-e55508a29a1c,c85e0804-624d-493d-9a01-1c0e56b82e8a,QLDB,ICG Senior Debt V,16
Count of Anchord Files,b6becb93-4b72-4e45-9c12-e55508a29a1c,"36855d59-5078-4dbd-a6b3-d28d6289ed38",Metachain,Insight Fund XIII,114
Count of Anchord Files,b6becb93-4b72-4e45-9c12-e55508a29a1c,"0ca2d3c4-52a1-40f6-a8aa-55434944f2e3",Metachain,"HPS Specialty Loan International Fund VI, SCSp",51
Count of Anchord Files,b6becb93-4b72-4e45-9c12-e55508a29a1c,e5d85ee7-e02e-42ed-b861-465c999b02ac,Metachain,"West Street Loan Partners V Europe, SLP",52
Count of Anchord Files,b6becb93-4b72-4e45-9c12-e55508a29a1c,"9797973e-3e6c-491d-89b9-bbb78f16f078",Metachain,Silverlake VII,119
Count of Anchord Files,b6becb93-4b72-4e45-9c12-e55508a29a1c,"866fceaf-8d8b-4d7b-ae80-9934d71bb000",Metachain,Blackstone Growth II L.P.,49
Count of Anchord Files,b6becb93-4b72-4e45-9c12-e55508a29a1c,a865b97a-8a21-43d5-9b5b-0d4582ce5a89,QLDB,AEA Investors Fund VIII LP,13
Count of Anchord Files,b6becb93-4b72-4e45-9c12-e55508a29a1c,"9d9acbf8-1620-4ab6-8de5-cb238dcfd61e",QLDB,Clearlake Capital Partners VIII,2
Count of Anchord Files,b6becb93-4b72-4e45-9c12-e55508a29a1c,"79417414-6877-4a08-ada4-a277bf1f62e0",QLDB,Blackstone Capital Partners IX,43
Count of Anchord Files,b6becb93-4b72-4e45-9c12-e55508a29a1c,aec480a8-322a-4642-90ea-f9b336715f8c,Metachain,"Warburg Pincus Global Growth 14, L.P.",85
