Residential GPR Gross Potential Rent,,"544,010.00",,"544,010.00",,"544,010.00",,"544,010.00",,"544,010.00",,"544,010.00",,"544,010.00",,"544,010.00",,"544,010.00",,"544,010.00",,"544,010.00",,"544,010.00",,"6,528,120.00"
 Residential GPR Gain / Loss to Lease,,"-57,394.00",,"-56,695.00",,"-54,169.00",,"-56,032.00",,"-54,817.00",,"-55,407.00",,"-53,699.00",,"-51,835.00",,"53,759.00",,"-52,360.00",,"-46,978.00",,"-39,538.00",,"632,683.00"
Total Potential Rent,,"486,616.00",,"487,315.00",,"489,841.00",,"487,978.00",,"489,193.00",,"488,603.00",,"490,311.00",,"492,175.00",,"490,251.00",,"491,650.00",,"497,032.00",,"504,472.00",,"5,895,437.00"
Residential Base Rent,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,"1,371.00",,"-1,371.00",,0.00
Residential Affordable Housing Rent,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00
Residential Recurring Concessions,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00
 Residential NonRecurring Concessions,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00
Residential HAP Suspense Rent,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00
Residential GPR Loss to Vacancy,,"-54,667.83",,"-52,979.74",,"-37,303.31",,"-43,388.03",,"-43,270.54",,"-39,019.87",,"-41,474.76",,"-52,488.45",,"-36,701.33",,"-36,694.41",,"41,429.78",,"-49,104.53",,"-528,522.58"
Residential GPR Loss to Admin,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00
Residential GPR Loss to Models,,"-4,345.00",,"-4,345.00",,"-4,345.00",,"-4,345.00",,"-4,345.00",,"-4,345.00",,"-4,345.00",,"-6,485.00",,"-6,485.00",,"-6,485.00",,"-6,465.00",,"-6,465.00",,"-62,800.00"
Residential GPR Loss to Pandemic,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00
Free Rent / Rental Concessions,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00
Bad Debt - Base Rent Write Off,,-43.62,,"-4,391.73",,0.00,,-132.60,,0.00,,"-1,436.00",,"-1,041.88",,"-30,603.07",,"2,397.13",,0.00,,-574.74,,-327.72,,"-40,948.49"
Total Net Effective Rent,,"427,559.55",,"425,598.53",,"448,192.69",,"440,112.37",,"441,577.46",,"443,802.13",,"443,449.36",,"402,598.48",,"444,667.54",,"448,470.59",,"449,933.48",,"447,203.75",,"5,263,165.93"
Apt Rental Revenue,,,,,,,,,,,,,,,,,,,,,,,,,,
 Base Rent,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00
FAS 141/Acquired Above Market Rent,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00
FAS 141/Acquired (Below) Market Rent,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00
 Percentage Rent,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00
Residential Corporate Rent,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00
Residential Employee Units,,"-2,990.00",,"-2,990.00",,"-2,990.00",,"-2,990.00",,"-2,990.00",,"-2,990.00",,"-2,990.00",,"-2,990.00",,"-2,990.00",,"-2,990.00",,"-2,990.00",,"-4,440.00",,"-37,330.00"
Residential Prior Period Rent Adjustment,,"2,140.00",,"2,140.00",,"2,140.00",,"2,140.00",,"2,140.00",,"2,140.00",,"2,140.00",,-207.10,,0.00,,0.00,,0.00,,"2,239.30",,"17,012.20"
Residential Prior Period Aff Housing Rent Adj,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00
Residential Affordable Housing Charge Adj,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00
Residential GPR Net Delinquency,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00
Deferred Straight Line (SL) Rent,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00
Tenant Improvement Loan,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00
 Bad Debt - Base Rent Reserve,,"-1,436.00",,"3,573.63",,651.00,,0.00,,0.00,,0.00,,0.00,,"-18,786.00",,"-15,918.00",,"-11,568.00",,"-11,568.00",,"-11,568.00",,"-66,619.37"
Cash Books - Prepaid Rent (System Only),,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00
,,"-2,286.00",,"2,723.63",,-199.00,,-850.00,,-850.00,,-850.00,,-850.00,,"-21,983.10",,"-18,908.00",,"-14,558.00",,"-14,558.00",,"-13,768.70",,"-86,937.17"
